Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,B_Tmag,V_Tmag,Jmag,Hmag,Ksmag
0.00051413,-1.48,9.5,0.0900000036,25.5449466705,0.09,-3.191,3.4726,5.426,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.23e-17,0.0,0.7498,0.2497,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,12.747,13.627,15.582,12.409,18.293,15.678,10.697,10.416,10.327
0.00051413,-1.48,9.5,0.0906440467,25.5582332611,0.091,-3.171,3.4754,5.421,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.49e-17,0.0,0.7498,0.2497,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,12.699,13.565,15.474,12.356,18.156,15.564,10.658,10.364,10.272
0.00051413,-1.48,9.5,0.0969766825,25.6779193878,0.097,-2.987,3.5018,5.371,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-8.58e-17,0.0,0.7495,0.25,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,12.238,12.967,14.47,11.844,16.856,14.516,10.289,9.891,9.772
0.00051413,-1.48,9.5,0.1000000015,25.7288246155,0.1,-2.903,3.5138,5.348,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.05e-16,0.0,0.7493,0.2502,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,12.028,12.694,14.056,11.612,16.303,14.089,10.12,9.686,9.556
0.00051413,-1.48,9.5,0.1199999973,25.9912986755,0.12,-2.618,3.5451,5.267,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.03e-16,0.0,0.7487,0.2508,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,11.314,11.82,12.905,10.833,14.781,12.915,9.509,9.01,8.856
0.00051413,-1.48,9.5,0.1211155578,26.0029735565,0.121,-2.607,3.5461,5.264,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.08e-16,0.0,0.7486,0.2509,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,11.287,11.788,12.867,10.804,14.733,12.877,9.485,8.985,8.83
0.00051413,-1.48,9.5,0.1400000006,26.1680011749,0.14,-2.439,3.5604,5.216,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.02e-16,0.0,0.7481,0.2514,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,10.867,11.3,12.285,10.355,13.991,12.285,9.111,8.592,8.427
0.00051413,-1.48,9.5,0.1599999964,26.2939968109,0.16,-2.303,3.5706,5.179,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.03e-16,0.0,0.7477,0.2518,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005202,10.527,10.915,11.842,9.998,13.441,11.835,8.804,8.275,8.102
0.00051413,-1.48,9.5,0.2000000179,26.459897995,0.2,-2.095,3.5841,5.123,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.2e-16,0.0,0.747,0.2525,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,10.008,10.343,11.202,9.459,12.671,11.183,8.326,7.787,7.607
0.00051413,-1.48,9.5,0.2500000298,26.5826473236,0.25,-1.896,3.5955,5.066,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.35e-16,0.0,0.7465,0.2529,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,9.51,9.804,10.61,8.948,11.976,10.581,7.861,7.318,7.135
0.00051413,-1.48,9.5,0.3000000715,26.65883255,0.3,-1.736,3.6041,5.02,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.3e-15,0.0,0.7464,0.2531,9.351e-05,2.523e-05,0.0002288,-1.0,0.0005201,9.111,9.375,10.145,8.54,11.44,10.108,7.486,6.941,6.76
0.00051413,-1.48,9.5,0.3185133636,26.6800327301,0.318,-1.685,3.6068,5.005,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.44e-15,0.0,0.7464,0.2531,9.351e-05,2.523e-05,0.0002288,-1.0,0.0005201,8.982,9.237,9.995,8.408,11.269,9.956,7.364,6.819,6.64
0.00051413,-1.48,9.5,0.3500000238,26.7101211548,0.35,-1.604,3.6111,4.982,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.71e-15,0.0,0.7466,0.2529,9.35e-05,2.523e-05,0.0002288,-1.0,0.00052,8.779,9.02,9.761,8.202,11.002,9.719,7.174,6.627,6.451
0.00051413,-1.48,9.5,0.3673527241,26.7241401672,0.367,-1.552,3.6149,4.966,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.91e-15,0.0,0.7476,0.2519,9.351e-05,2.523e-05,0.0002288,-1.0,0.0005201,8.649,8.878,9.603,8.069,10.819,9.559,7.053,6.506,6.334
0.00051413,-1.48,9.5,0.4000000358,26.7466907501,0.4,-1.462,3.6215,4.94,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.33e-15,0.0,0.7503,0.2491,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,8.424,8.632,9.331,7.839,10.501,9.282,6.846,6.298,6.133
0.00051413,-1.48,9.5,0.4500000179,26.7739086151,0.45,-1.298,3.6382,4.893,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.37e-15,0.0,0.7503,0.2491,9.352e-05,2.523e-05,0.0002288,-1.0,0.0005201,8.014,8.17,8.805,7.419,9.869,8.746,6.481,5.937,5.791
0.00051413,-1.48,9.5,0.5,26.7948455811,0.5,-1.118,3.6613,4.852,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.09e-15,0.0,0.7503,0.2491,9.352e-05,2.523e-05,0.0002288,-1.0,0.00052,7.564,7.653,8.206,6.959,9.139,8.14,6.096,5.578,5.456
0.00051413,-1.48,9.5,0.5500000715,26.811384201,0.55,-0.935,3.6849,4.805,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.77e-15,0.0,0.7597,0.2398,9.025e-05,2.435e-05,0.0002209,-1.0,0.0004902,7.108,7.136,7.615,6.501,8.423,7.544,5.719,5.248,5.144
0.00051413,-1.48,9.5,0.5883870125,26.8218688965,0.588,-0.8,3.703,4.771,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.07e-14,0.0,0.7619,0.2376,8.948e-05,2.415e-05,0.0002191,-1.0,0.000513,6.77,6.762,7.192,6.166,7.917,7.123,5.447,5.018,4.925
